loan_id,len,syll,lex,sent,flesch,kincaid,gunning
7779,680.0,177.0,119.0,8.0,64.81,7.9,9.32
2777,734.0,188.0,125.0,6.0,58.82,10.2,11.2
6007,786.0,203.0,141.0,5.0,59.77,11.9,14.12
76,928.0,233.0,176.0,10.0,78.99,6.6,9.31
4217,907.0,227.0,169.0,10.0,79.7,6.3,9.13
5077,205.0,55.0,42.0,3.0,82.65,5.2,6.55
6033,1007.0,263.0,165.0,7.0,47.52,12.5,14.77
843,813.0,204.0,146.0,14.0,77.84,5.0,7.17
4357,1109.0,297.0,198.0,13.0,64.51,8.0,8.91
7007,442.0,95.0,79.0,4.0,85.22,6.3,8.93
1399,983.0,238.0,179.0,10.0,78.69,6.7,8.72
4729,1071.0,263.0,190.0,15.0,75.5,5.9,6.55
1768,914.0,217.0,163.0,10.0,80.31,6.1,8.24
449,822.0,200.0,152.0,11.0,82.85,5.1,8.15
6906,601.0,156.0,103.0,6.0,62.48,8.8,10.38
5620,770.0,192.0,143.0,7.0,76.15,7.7,9.56
3114,1257.0,306.0,212.0,12.0,70.43,7.8,9.34
7078,834.0,196.0,145.0,8.0,70.02,8.0,9.17
504,1114.0,275.0,203.0,16.0,75.5,5.9,7.84
342,673.0,179.0,128.0,9.0,73.98,6.5,9.43
5654,459.0,112.0,85.0,5.0,79.6,6.4,8.68
345,650.0,161.0,125.0,8.0,81.02,5.8,8.8
2075,466.0,116.0,89.0,5.0,78.79,6.7,7.57
7644,853.0,207.0,158.0,10.0,80.82,5.9,8.09
857,983.0,245.0,169.0,10.0,71.24,7.5,10.55
4241,917.0,215.0,166.0,12.0,82.85,5.1,7.69
7027,481.0,124.0,80.0,4.0,51.18,11.1,10.5
5264,438.0,108.0,80.0,5.0,72.16,7.2,8.9
7975,1043.0,260.0,175.0,9.0,60.24,9.7,11.19
5917,744.0,182.0,138.0,7.0,76.86,7.4,9.62
6002,518.0,127.0,94.0,6.0,72.46,7.1,7.56
7467,1140.0,268.0,213.0,16.0,83.36,4.9,6.45
1422,847.0,212.0,157.0,10.0,72.46,7.1,9.08
5163,937.0,234.0,169.0,12.0,74.08,6.4,8.24
7026,469.0,108.0,82.0,5.0,80.21,6.1,7.54
4280,786.0,203.0,139.0,10.0,65.83,7.5,9.88
5806,1140.0,276.0,208.0,14.0,81.73,5.6,8.27
2284,1052.0,261.0,197.0,11.0,78.69,6.7,8.58
5886,696.0,172.0,132.0,6.0,74.53,8.3,9.71
5707,669.0,165.0,119.0,8.0,73.27,6.7,8.31
7829,1536.0,393.0,272.0,13.0,67.18,9.1,11.6
1496,914.0,231.0,175.0,9.0,77.16,7.3,10.27
2565,1097.0,276.0,202.0,11.0,69.72,8.1,8.94
2468,1066.0,277.0,193.0,15.0,75.3,6.0,9.1
5725,939.0,247.0,175.0,13.0,74.69,6.2,8.83
2106,534.0,140.0,97.0,8.0,76.11,5.6,7.31
6546,590.0,145.0,110.0,5.0,74.53,8.3,10.62
4139,517.0,127.0,99.0,6.0,80.11,6.2,8.22
3167,576.0,139.0,102.0,7.0,73.58,6.6,7.8
4602,587.0,148.0,112.0,7.0,80.62,6.0,8.19
6551,775.0,187.0,130.0,7.0,69.52,8.2,9.9
5269,408.0,98.0,77.0,5.0,81.22,5.8,8.76
1790,822.0,204.0,148.0,11.0,74.69,6.2,8.1
7035,395.0,104.0,67.0,3.0,48.84,12.0,13.1
562,292.0,73.0,57.0,2.0,67.93,10.9,12.8
1003,713.0,174.0,132.0,8.0,80.11,6.2,8.12
7287,715.0,176.0,137.0,8.0,79.5,6.4,8.01
6274,632.0,154.0,119.0,9.0,83.46,4.9,7.63
3094,1267.0,320.0,206.0,9.0,48.23,12.2,13.24
6119,582.0,145.0,101.0,5.0,67.89,8.8,11.25
100,883.0,223.0,159.0,8.0,68.2,8.7,11.48
1861,658.0,167.0,118.0,6.0,68.4,8.6,10.25
7182,725.0,172.0,129.0,6.0,75.03,8.1,11.08
3099,748.0,196.0,133.0,5.0,52.94,12.5,13.95
5666,1046.0,262.0,182.0,6.0,57.64,12.7,16.08
5696,544.0,132.0,95.0,8.0,76.32,5.6,6.44
5601,641.0,164.0,112.0,5.0,57.2,10.8,12.17
2072,987.0,247.0,168.0,11.0,64.41,8.1,9.69
6860,644.0,156.0,115.0,5.0,65.05,9.9,10.94
381,799.0,194.0,141.0,11.0,75.4,5.9,7.39
3977,1005.0,240.0,174.0,7.0,63.12,10.6,12.95
4988,661.0,161.0,114.0,6.0,69.11,8.3,10.76
1330,865.0,227.0,153.0,10.0,64.41,8.1,9.78
480,1245.0,300.0,225.0,14.0,80.51,6.0,7.86
1573,592.0,150.0,109.0,8.0,74.59,6.2,7.64
58,1895.0,476.0,361.0,18.0,76.45,7.6,9.92
7100,774.0,202.0,140.0,6.0,64.75,10.0,13.32
1220,188.0,49.0,39.0,3.0,83.66,4.8,7.25
875,1126.0,269.0,203.0,15.0,83.15,5.0,7.37
7749,1111.0,275.0,184.0,10.0,61.26,9.3,11.06
994,599.0,146.0,115.0,7.0,80.21,6.1,7.6
1118,601.0,148.0,107.0,7.0,72.87,6.9,9.11
3249,686.0,166.0,125.0,5.0,71.48,9.5,12.24
3206,746.0,185.0,122.0,7.0,62.27,8.9,10.24
632,964.0,226.0,172.0,10.0,79.4,6.5,8.28
5863,746.0,191.0,131.0,9.0,65.12,7.8,8.89
2740,570.0,145.0,101.0,3.0,54.19,14.1,17.04
5173,980.0,243.0,184.0,12.0,81.33,5.7,8.29
5303,394.0,95.0,77.0,5.0,89.68,4.6,8.24
3213,636.0,163.0,115.0,5.0,65.05,9.9,11.63
7104,692.0,172.0,130.0,7.0,77.98,7.0,9.29
2829,684.0,163.0,124.0,9.0,82.85,5.1,7.13
7173,560.0,138.0,103.0,6.0,79.4,6.5,9.6
965,623.0,155.0,117.0,9.0,83.66,4.8,7.59
3765,815.0,200.0,147.0,10.0,73.47,6.7,8.06
6996,1037.0,276.0,184.0,9.0,59.23,10.1,12.07
4420,649.0,162.0,120.0,7.0,71.04,7.6,8.51
6968,1547.0,396.0,274.0,9.0,57.54,12.8,14.35
6187,653.0,166.0,118.0,6.0,68.4,8.6,9.91
780,472.0,118.0,91.0,8.0,85.28,4.2,7.2
6166,790.0,196.0,147.0,9.0,80.31,6.1,7.88
427,679.0,172.0,129.0,8.0,80.51,6.0,8.92
451,766.0,190.0,140.0,12.0,76.52,5.5,6.97
3321,666.0,161.0,114.0,8.0,73.88,6.5,8.18
988,615.0,155.0,115.0,7.0,80.21,6.1,7.95
5743,1207.0,293.0,206.0,10.0,67.49,9.0,10.18
1810,943.0,246.0,165.0,10.0,63.19,8.5,9.75
5905,1258.0,328.0,223.0,8.0,51.62,13.0,12.59
6675,946.0,231.0,161.0,9.0,70.23,7.9,10.14
7051,910.0,219.0,163.0,8.0,76.15,7.7,9.39
2012,969.0,250.0,172.0,13.0,66.54,7.3,9.47
2035,821.0,204.0,148.0,9.0,71.75,7.3,8.18
4760,683.0,184.0,122.0,8.0,64.41,8.1,10.38
7444,646.0,156.0,123.0,7.0,78.99,6.6,8.34
1622,612.0,146.0,109.0,9.0,84.57,4.5,6.31
1595,510.0,124.0,95.0,7.0,83.05,5.1,7.97
989,883.0,212.0,164.0,11.0,81.73,5.6,6.69
6992,633.0,149.0,112.0,7.0,80.62,6.0,8.19
7096,897.0,231.0,149.0,7.0,49.86,11.6,10.67
120,862.0,203.0,159.0,10.0,80.72,6.0,8.62
5598,441.0,112.0,87.0,5.0,79.19,6.5,8.8
1921,757.0,188.0,144.0,7.0,75.95,7.8,9.91
7058,1127.0,271.0,193.0,10.0,68.81,8.5,10.21
1564,718.0,185.0,128.0,7.0,69.82,8.1,10.13
4905,274.0,71.0,55.0,3.0,78.28,6.9,7.32
6868,645.0,166.0,110.0,5.0,57.61,10.7,12.44
6692,770.0,202.0,140.0,10.0,74.19,6.4,8.74
3186,480.0,121.0,85.0,4.0,66.78,9.2,11.81
1881,1073.0,264.0,197.0,12.0,80.21,6.1,8.39
6577,1052.0,251.0,184.0,13.0,73.98,6.5,8.51
7446,564.0,135.0,102.0,7.0,82.04,5.4,7.41
3347,1237.0,319.0,201.0,11.0,52.9,10.4,10.9
1504,690.0,173.0,118.0,9.0,66.64,7.2,7.27
1812,988.0,249.0,179.0,11.0,71.85,7.3,8.98
7203,796.0,200.0,139.0,7.0,68.2,8.7,10.55
6758,500.0,126.0,88.0,5.0,70.53,7.8,9.77
6188,1245.0,307.0,221.0,12.0,69.72,8.1,10.07
6083,770.0,201.0,145.0,8.0,70.02,8.0,8.62
7269,1202.0,305.0,208.0,9.0,56.49,11.1,11.74
5201,751.0,182.0,131.0,10.0,75.1,6.0,6.77
4147,778.0,202.0,147.0,8.0,69.72,8.1,9.81
2345,877.0,214.0,154.0,10.0,72.76,6.9,7.98
6915,565.0,132.0,95.0,6.0,72.36,7.1,9.69
6742,474.0,122.0,78.0,4.0,51.68,10.9,11.9
1039,1355.0,343.0,245.0,20.0,75.91,5.7,8.02
1684,946.0,252.0,166.0,7.0,55.88,11.4,11.65
4321,873.0,216.0,161.0,8.0,76.45,7.6,10.52
6139,947.0,241.0,167.0,7.0,64.14,10.3,13.39
4980,408.0,97.0,75.0,6.0,84.17,4.6,5.53
7888,1119.0,288.0,193.0,10.0,60.35,9.6,10.21
1854,1253.0,307.0,242.0,9.0,69.55,10.2,12.91
1923,775.0,192.0,144.0,7.0,75.95,7.8,10.18
7765,772.0,181.0,149.0,8.0,86.44,5.8,8.51
1042,645.0,159.0,121.0,6.0,76.35,7.6,9.4
2067,914.0,230.0,158.0,10.0,63.9,8.3,9.1
1231,863.0,217.0,149.0,11.0,66.23,7.4,8.35
5221,771.0,188.0,139.0,8.0,70.73,7.7,9.84
2314,507.0,126.0,89.0,9.0,78.35,4.8,6.66
3647,1157.0,281.0,202.0,10.0,67.89,8.8,9.86
2975,439.0,109.0,77.0,5.0,72.76,6.9,9.28
5461,475.0,120.0,79.0,6.0,66.54,7.3,8.82
1412,432.0,108.0,75.0,6.0,75.71,5.8,8.2
548,251.0,66.0,47.0,2.0,64.54,10.1,11.95
114,1247.0,314.0,228.0,12.0,69.11,8.3,10.41
7333,759.0,190.0,141.0,9.0,80.92,5.9,8.27
6286,952.0,245.0,180.0,10.0,70.13,8.0,9.64
2470,1233.0,323.0,220.0,12.0,61.36,9.2,11.5
3751,635.0,152.0,121.0,8.0,81.53,5.6,7.69
344,710.0,176.0,132.0,9.0,81.93,5.5,9.21
2140,671.0,168.0,130.0,5.0,70.47,9.9,11.63
665,815.0,208.0,141.0,7.0,59.53,9.9,10.03
6550,701.0,174.0,118.0,7.0,62.78,8.7,10.15
1689,1114.0,265.0,202.0,11.0,78.18,6.9,8.75
783,745.0,195.0,138.0,10.0,74.39,6.3,8.42
1889,934.0,235.0,166.0,11.0,73.07,6.8,8.45
82,846.0,202.0,150.0,10.0,81.63,5.6,7.87
6070,1384.0,341.0,243.0,16.0,72.97,6.9,8.22
6029,405.0,101.0,79.0,4.0,76.76,7.5,9.95
1166,448.0,105.0,88.0,5.0,87.45,5.4,7.95
7172,536.0,138.0,90.0,5.0,61.67,9.1,11.64
1706,776.0,183.0,137.0,12.0,85.28,4.2,6.31
5668,168.0,41.0,26.0,2.0,58.28,8.4,9.82
6095,749.0,193.0,139.0,8.0,70.73,7.7,8.97
2297,941.0,235.0,173.0,11.0,72.46,7.1,9.05
2274,1365.0,329.0,228.0,13.0,70.63,7.8,9.81
1699,1267.0,320.0,229.0,9.0,62.61,10.8,13.48
5773,728.0,192.0,122.0,9.0,57.67,8.6,10.36
3620,659.0,162.0,122.0,7.0,79.19,6.5,8.6
6027,521.0,132.0,102.0,5.0,76.15,7.7,9.73
1775,796.0,202.0,146.0,8.0,69.82,8.1,10.33
5844,813.0,202.0,146.0,7.0,67.18,9.1,11.65
6314,740.0,184.0,130.0,8.0,71.85,7.3,9.9
2332,1530.0,371.0,273.0,16.0,71.04,7.6,8.6
915,524.0,127.0,94.0,11.0,79.77,4.2,5.95
4955,167.0,45.0,36.0,2.0,78.59,6.8,7.2
2927,597.0,150.0,98.0,5.0,60.04,9.8,11.92
3268,772.0,201.0,133.0,7.0,60.65,9.5,11.51
2057,862.0,211.0,152.0,11.0,74.39,6.3,7.89
1914,1189.0,287.0,207.0,13.0,72.26,7.1,8.87
5929,659.0,156.0,108.0,9.0,76.22,5.6,7.76
6881,1095.0,259.0,200.0,9.0,74.32,8.4,10.88
4375,771.0,189.0,147.0,9.0,80.31,6.1,7.61
3087,1535.0,394.0,253.0,10.0,45.8,13.2,14.07
1455,1158.0,287.0,221.0,12.0,78.18,6.9,9.71
6067,1542.0,371.0,268.0,13.0,67.49,9.0,10.33
7330,1358.0,320.0,259.0,12.0,83.39,7.0,9.41
7849,1114.0,284.0,184.0,9.0,59.23,10.1,12.07
1649,948.0,232.0,167.0,9.0,69.52,8.2,10.55
3275,1149.0,287.0,182.0,8.0,48.33,12.2,13.52
5185,856.0,211.0,163.0,10.0,80.31,6.1,7.99
722,1288.0,317.0,221.0,15.0,73.47,6.7,7.87
5977,454.0,119.0,74.0,3.0,46.4,12.9,14.2
4971,497.0,129.0,96.0,6.0,80.62,6.0,8.9
4185,649.0,164.0,122.0,7.0,79.19,6.5,8.93
3744,1102.0,279.0,187.0,12.0,64.1,8.2,9.66
5890,951.0,248.0,190.0,12.0,80.82,5.9,7.16
1796,740.0,182.0,138.0,11.0,84.17,4.6,6.74
3366,1000.0,258.0,168.0,9.0,60.95,9.4,8.91
7091,860.0,221.0,147.0,6.0,55.07,11.7,12.25
5450,513.0,129.0,91.0,6.0,72.97,6.9,8.72
1652,1325.0,320.0,235.0,14.0,71.34,7.5,8.08
2632,1366.0,351.0,233.0,16.0,65.12,7.8,8.93
5674,513.0,124.0,96.0,4.0,72.5,9.1,11.27
3303,599.0,151.0,107.0,5.0,66.67,9.3,10.8
5747,576.0,145.0,101.0,7.0,73.78,6.5,8.53
3074,695.0,194.0,113.0,6.0,43.93,11.8,12.83
1203,1373.0,350.0,248.0,14.0,70.43,7.8,10.31
4598,624.0,159.0,110.0,7.0,72.46,7.1,9.55
3246,1025.0,263.0,165.0,7.0,47.52,12.5,12.59
1144,420.0,100.0,79.0,5.0,80.82,5.9,7.84
1097,223.0,62.0,47.0,4.0,84.88,4.4,5.57
7321,265.0,61.0,42.0,2.0,58.62,10.3,12.21
2774,416.0,104.0,77.0,7.0,77.23,5.2,5.96
2972,655.0,168.0,110.0,5.0,57.61,10.7,13.53
7195,511.0,122.0,87.0,5.0,70.73,7.7,11.1
2296,683.0,165.0,130.0,10.0,83.66,4.8,7.05
363,1169.0,288.0,211.0,14.0,73.07,6.8,8.88
2265,1089.0,264.0,198.0,14.0,82.54,5.2,7.46
3368,1197.0,301.0,198.0,9.0,57.61,10.7,12.03
6411,849.0,206.0,139.0,7.0,59.74,9.9,10.55
5065,633.0,171.0,118.0,7.0,71.24,7.5,9.81
4969,693.0,172.0,120.0,8.0,73.17,6.8,8.67
6922,579.0,155.0,95.0,4.0,47.32,12.6,13.73
138,1099.0,269.0,204.0,12.0,79.6,6.4,8.17
3517,722.0,180.0,141.0,7.0,76.45,7.6,9.46
185,716.0,171.0,133.0,9.0,81.83,5.5,8.93
7979,1477.0,378.0,271.0,16.0,71.24,7.5,9.42
7573,834.0,198.0,143.0,10.0,73.88,6.5,8.8
5729,669.0,163.0,121.0,7.0,79.3,6.5,9.56
4735,649.0,164.0,109.0,6.0,61.46,9.2,11.68
744,1007.0,254.0,192.0,15.0,83.86,4.7,7.2
218,628.0,156.0,118.0,6.0,76.86,7.4,9.57
4960,241.0,60.0,50.0,5.0,95.17,2.5,5.6
6770,570.0,137.0,104.0,6.0,79.3,6.5,8.46
5033,870.0,222.0,171.0,9.0,77.57,7.2,8.77
1829,1803.0,449.0,323.0,17.0,69.11,8.3,9.33
2431,546.0,127.0,97.0,6.0,80.41,6.1,8.13
6660,740.0,186.0,129.0,10.0,75.3,6.0,8.57
5483,505.0,133.0,96.0,5.0,68.91,8.4,11.85
964,584.0,154.0,110.0,7.0,72.46,7.1,8.46
6724,495.0,116.0,88.0,6.0,81.93,5.5,8.15
2659,686.0,170.0,124.0,6.0,67.38,9.0,10.22
6780,765.0,191.0,133.0,7.0,69.11,8.3,9.71
320,1239.0,303.0,227.0,13.0,79.09,6.6,8.59
3053,579.0,151.0,101.0,7.0,65.32,7.7,9.72
1987,525.0,128.0,95.0,9.0,86.1,3.9,5.5
7554,1045.0,255.0,207.0,12.0,87.76,5.3,7.89
2089,1016.0,252.0,186.0,15.0,75.81,5.8,7.33
5271,855.0,210.0,143.0,4.0,43.6,16.1,17.68
4480,523.0,129.0,101.0,6.0,79.8,6.3,8.3
6276,478.0,115.0,90.0,6.0,81.63,5.6,6.89
1023,765.0,183.0,137.0,8.0,79.5,6.4,10.05
5268,388.0,95.0,75.0,5.0,81.63,5.6,7.6
5646,550.0,143.0,94.0,8.0,67.96,6.7,7.7
1890,817.0,196.0,148.0,10.0,81.83,5.5,8.08
7922,1000.0,251.0,168.0,10.0,62.88,8.7,10.53
2746,950.0,242.0,157.0,10.0,64.0,8.2,10.36
6977,477.0,118.0,83.0,7.0,76.32,5.6,7.17
4762,1188.0,295.0,218.0,12.0,69.92,8.0,10.03
1450,532.0,131.0,94.0,9.0,77.84,5.0,7.56
5076,199.0,54.0,42.0,3.0,82.65,5.2,6.55
2329,607.0,156.0,104.0,6.0,62.38,8.9,11.15
6916,763.0,192.0,131.0,9.0,65.12,7.8,9.81
1186,180.0,50.0,37.0,2.0,69.62,8.1,9.56
1050,1234.0,307.0,223.0,18.0,75.81,5.8,6.75
5475,449.0,111.0,79.0,6.0,75.0,6.1,8.82
2583,860.0,205.0,143.0,7.0,67.69,8.9,10.4
3168,587.0,146.0,98.0,7.0,65.73,7.6,9.68
896,945.0,242.0,161.0,13.0,67.35,6.9,9.18
5079,839.0,198.0,148.0,10.0,81.83,5.5,7.54
7463,1113.0,284.0,187.0,12.0,64.1,8.2,10.3
6327,900.0,214.0,168.0,4.0,54.23,16.1,19.18
1943,734.0,178.0,129.0,7.0,69.72,8.1,9.84
3535,557.0,145.0,108.0,6.0,78.59,6.8,9.79
7878,944.0,241.0,151.0,8.0,52.29,10.7,12.86
5420,909.0,224.0,170.0,14.0,84.57,4.5,7.19
2823,794.0,211.0,139.0,5.0,51.72,13.0,14.57
3814,1328.0,325.0,243.0,12.0,76.25,7.7,9.44
5635,488.0,114.0,81.0,5.0,71.95,7.2,9.94
3407,1284.0,318.0,227.0,12.0,69.21,8.3,10.2
1995,1103.0,267.0,210.0,13.0,80.41,6.1,8.77
3145,1061.0,280.0,187.0,12.0,64.1,8.2,8.81
6870,652.0,162.0,108.0,7.0,64.3,8.1,9.86
296,929.0,237.0,167.0,11.0,72.97,6.9,9.43
4757,66.0,15.0,14.0,1.0,99.57,2.9,5.6
3690,569.0,144.0,98.0,7.0,65.73,7.6,8.46
6477,1168.0,288.0,211.0,13.0,71.95,7.2,8.75
4103,658.0,167.0,124.0,8.0,81.12,5.8,7.81
3833,1219.0,302.0,217.0,12.0,70.02,8.0,10.37
6041,793.0,202.0,140.0,7.0,68.1,8.7,10.29
2832,860.0,211.0,159.0,12.0,83.36,4.9,5.82
5832,916.0,226.0,168.0,11.0,81.33,5.7,8.26
943,773.0,193.0,139.0,10.0,74.29,6.4,9.01
3016,699.0,182.0,119.0,7.0,62.68,8.7,10.5
6734,799.0,204.0,142.0,10.0,73.98,6.5,8.22
3358,1236.0,311.0,207.0,11.0,60.85,9.4,10.81
6267,653.0,159.0,113.0,9.0,75.61,5.8,6.81
4512,962.0,253.0,177.0,9.0,68.4,8.6,11.04
2934,576.0,147.0,98.0,4.0,55.07,11.7,13.47
3929,1298.0,320.0,228.0,11.0,67.38,9.0,10.21
3639,277.0,75.0,50.0,2.0,54.56,11.9,12.4
7776,581.0,138.0,102.0,6.0,71.14,7.6,9.55
5191,878.0,215.0,164.0,11.0,81.73,5.6,7.91
5418,676.0,171.0,128.0,8.0,80.62,6.0,7.65
25,1015.0,272.0,172.0,15.0,59.8,7.8,8.79
1952,1020.0,260.0,181.0,11.0,71.65,7.4,10.36
7065,671.0,161.0,112.0,7.0,72.16,7.2,10.69
4803,755.0,192.0,144.0,8.0,78.59,6.8,9.7
7250,623.0,149.0,117.0,7.0,79.9,6.3,8.39
3342,1083.0,270.0,183.0,8.0,56.69,11.0,11.35
5017,196.0,54.0,41.0,3.0,82.95,5.1,6.46
382,781.0,195.0,138.0,9.0,72.87,6.9,9.02
6672,566.0,143.0,98.0,5.0,60.04,9.8,11.11
885,233.0,57.0,45.0,4.0,85.39,4.2,5.41
3489,901.0,236.0,160.0,7.0,56.69,11.0,12.66
6591,544.0,135.0,106.0,6.0,78.89,6.7,8.59
1701,684.0,169.0,122.0,6.0,67.79,8.8,10.09
6649,808.0,204.0,141.0,9.0,72.46,7.1,9.68
7637,1324.0,320.0,236.0,11.0,66.57,9.3,10.29
1847,595.0,160.0,106.0,5.0,58.42,10.4,12.63
7286,1364.0,340.0,232.0,11.0,58.52,10.3,11.37
908,708.0,174.0,128.0,10.0,75.4,5.9,6.37
5677,656.0,164.0,115.0,7.0,71.75,7.3,8.99
1048,917.0,225.0,175.0,10.0,79.09,6.6,7.69
2935,511.0,129.0,90.0,3.0,57.95,12.6,13.78
6312,681.0,165.0,117.0,7.0,71.44,7.4,9.42
4297,559.0,146.0,103.0,7.0,73.47,6.7,8.6
7786,717.0,174.0,121.0,8.0,73.07,6.8,8.35
