loan_id,NE_MONEY,NE_CARDINAL,NE_GPE,NE_PERSON
7779,0,1,1,2
2777,0,2,0,1
6007,1,3,3,4
76,0,7,0,1
4217,0,1,2,1
5077,0,1,0,0
6033,1,4,7,4
843,0,3,0,5
4357,0,2,2,2
7007,0,2,1,1
1399,6,2,0,2
4729,0,3,1,1
1768,3,2,2,2
449,0,1,1,2
6906,0,1,1,3
5620,0,2,0,0
3114,0,1,2,3
7078,0,2,2,1
504,0,0,1,0
342,1,1,0,1
5654,0,1,2,0
345,0,4,0,2
2075,0,0,0,1
7644,0,3,1,1
857,0,1,1,2
4241,0,2,0,2
7027,0,0,0,1
5264,0,1,0,1
7975,0,1,1,1
5917,0,1,0,5
6002,0,3,1,0
7467,0,3,2,2
1422,2,6,0,0
5163,0,1,1,2
7026,0,3,0,2
4280,0,2,0,0
5806,0,4,0,4
2284,0,4,1,3
5886,0,1,0,2
5707,3,3,6,1
7829,0,2,1,3
1496,4,2,1,1
2565,3,1,0,1
2468,0,0,0,2
5725,0,2,1,3
2106,0,0,0,0
6546,1,1,1,1
4139,0,0,0,1
3167,0,1,0,0
4602,0,1,0,0
6551,0,3,0,1
5269,0,1,2,0
1790,1,1,2,1
7035,0,0,1,1
562,0,1,0,0
1003,0,1,0,1
7287,0,1,0,4
6274,0,5,0,2
3094,0,1,2,3
6119,0,1,1,1
100,0,2,0,0
1861,0,1,0,3
7182,0,0,1,4
3099,0,0,0,0
5666,0,0,0,2
5696,0,0,0,0
5601,0,1,0,0
2072,0,1,1,3
6860,0,0,0,2
381,0,1,0,2
3977,2,0,3,2
4988,0,4,0,1
1330,3,1,1,1
480,0,5,3,6
1573,0,0,1,2
58,5,6,6,0
7100,0,1,1,0
1220,0,1,0,0
875,3,2,3,2
7749,0,2,5,3
994,0,4,1,5
1118,0,1,1,3
3249,0,1,0,3
3206,0,3,1,1
632,3,0,2,3
5863,0,1,3,1
2740,0,0,0,0
5173,0,1,0,3
5303,0,1,0,0
3213,0,1,0,3
7104,1,4,1,7
2829,0,3,0,3
7173,1,2,2,2
965,0,2,0,3
3765,0,2,3,6
6996,0,4,1,0
4420,0,1,0,0
6968,0,2,1,3
6187,0,1,0,1
780,0,4,0,1
6166,0,1,2,0
427,0,4,2,0
451,0,1,1,1
3321,0,1,0,3
988,0,1,0,2
5743,1,5,2,3
1810,3,2,0,4
5905,0,1,0,6
6675,1,1,6,0
7051,0,4,1,3
2012,0,0,2,3
2035,0,4,3,2
4760,0,1,0,1
7444,1,1,3,1
